,Schrodinger
2022-09-23,98499.45042877794
2022-09-30,96709.89225303935
2022-10-07,96976.39340298288
2022-10-14,95299.90811834129
2022-10-21,98099.55450738237
2022-10-28,100176.82796058501
2022-11-04,97875.6793481353
2022-11-11,102600.38661274551
2022-11-18,101961.30396375056
2022-11-25,102494.94808183276
2022-12-02,103457.06140266494
2022-12-09,101225.90580868436
2022-12-16,99797.41476435926
2022-12-23,99482.40297909525
2022-12-30,99385.85861618817
2023-01-06,100216.39683796631
2023-01-13,103048.23452184127
2023-01-20,103212.51007244781
2023-01-27,105389.53324843975
2023-02-03,105940.07452144299
2023-02-10,105778.06563541663
2023-02-17,105452.03995641135
2023-02-24,103646.84816713909
2023-03-03,105078.1020689848
2023-03-10,101351.53611913444
2023-03-17,101582.32556245402
2023-03-24,101869.54917259612
2023-03-31,104783.45110067092
2023-04-07,104711.10057491058
2023-04-14,105462.94360623787
2023-04-21,105326.72973190562
2023-04-28,105799.80379500223
2023-05-05,104378.41637059751
2023-05-12,103795.91876117731
2023-05-19,104991.46278408184
2023-05-26,105380.90710309905
2023-06-02,106800.37617976317
2023-06-09,107048.10902547932
2023-06-16,108658.47701655001
2023-06-23,106453.82661541855
2023-06-30,109253.66176813621
2023-07-07,109127.6984775456
2023-07-14,111070.3042455055
2023-07-21,112372.62025890774
2023-07-28,113151.81812924844
2023-08-04,111935.599554562
2023-08-11,111727.82279253594
2023-08-18,109685.79813620735
2023-08-25,110470.06422829845
2023-09-01,113198.66716139934
2023-09-08,112279.65348114367
2023-09-15,112034.84188825266
2023-09-22,109441.38468611923
2023-09-29,109080.56599601195
2023-10-06,109784.24477665346
2023-10-13,110453.03354242329
2023-10-20,108017.29688527835
2023-10-27,105727.77704069627
2023-11-03,111654.19011749784
2023-11-10,113520.86114400551
2023-11-17,116603.47227378293
2023-11-24,117041.7933606366
2023-12-01,118794.99189887299
2023-12-08,118391.10430926821
2023-12-15,121711.0984379497
2023-12-22,122533.77625401568
2023-12-29,122696.19632255811
2024-01-05,120288.14848583206
2024-01-12,122587.49346076767
2024-01-19,123287.18493236291
2024-01-26,124526.12996883634
2024-02-02,124722.16119390042
2024-02-09,125498.64575496138
2024-02-16,126002.43213101068
2024-02-23,127307.18319581523
2024-03-01,129962.57586765768
2024-03-08,131731.25983395948
2024-03-15,130091.43650088187
2024-03-22,133103.83002921985
2024-03-29,134796.69840634277
2024-04-05,135051.07635726515
2024-04-12,133318.99516774624
2024-04-19,127922.47795442585
2024-04-26,130989.36025360787
2024-05-03,131694.6325488706
2024-05-10,133425.91372378767
2024-05-17,136428.5698523897
2024-05-24,134545.65692513762
2024-05-31,133583.48179463748
2024-06-07,135371.67765222894
2024-06-14,138016.34250514992
2024-06-21,138743.66721159173
2024-06-28,138512.36645073068
2024-07-05,140781.90969807046
2024-07-12,142644.0621464461
2024-07-19,141539.15288750714
2024-07-26,140345.37873134774
2024-08-02,139769.89388583828
2024-08-09,139577.25483685077
2024-08-16,143809.50226506582
2024-08-23,145343.60857612983
2024-08-30,144179.85756423278
2024-09-06,141432.59292933924
2024-09-13,146350.86355257672
2024-09-20,147392.3979189068
2024-09-27,148318.01156008398
2024-10-04,147143.8710697071
2024-10-11,147903.6100641151
2024-10-18,147083.6792059028
2024-10-25,147013.93328501077
2024-11-01,144108.03860660453
2024-11-08,151946.57882003803
2024-11-15,147870.73941453567
2024-11-22,151060.26175607977
2024-11-29,149863.40671612322
2024-12-06,149452.36573623752
2024-12-13,146338.9004425005
2024-12-20,142917.61580275823
2024-12-27,143745.22165603493
2025-01-03,143846.70104013674
2025-01-10,140446.21829550024
2025-01-17,145658.63986473475
2025-01-24,147747.13805639732
2025-01-31,144860.46538810304
2025-02-07,146331.7784774878
2025-02-14,148919.93913812807
2025-02-21,147005.35730458502
2025-02-28,145619.67512458083
2025-03-07,141672.41234346325
2025-03-14,140920.07681113045
2025-03-21,142581.88403650533
2025-03-28,141366.48233254856
2025-04-04,128760.43285397213
2025-04-11,131372.70623195736
2025-04-18,131480.43936060587
2025-04-25,136196.86077948016
2025-05-02,140202.82670151084
2025-05-09,140364.43908349585
2025-05-16,146033.66891483852
2025-05-23,144138.16901739003
2025-05-30,145732.4146097088
2025-06-06,147866.20147888488
2025-06-13,148890.21043364488
2025-06-20,149181.3755357948
2025-06-27,150341.39822687922
2025-07-04,152919.4130483553
2025-07-11,152321.1532275949
2025-07-18,152147.26059122971
2025-07-25,153499.30362281922
2025-08-01,151412.26001165275
2025-08-08,152846.28448314086
